                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.87532,                0.61493,                 1.0844,                      1,                0.80348,                0.86992,                0.65637,                0.92926,                 1.4432,                 1.2397,               0.000482,               0.000482,               0.000482
                     48,                0.83452,                0.55513,                0.99603,                0.97794,                 0.8125,                0.86959,                0.68367,                0.82593,                    1.2,                 1.1311,               0.000449,               0.000449,               0.000449
                     49,                0.78565,                0.55785,                  1.053,                0.96776,                 0.8125,                0.87315,                0.72287,                0.72799,                 1.0048,                0.97271,               0.000416,               0.000416,               0.000416
                     50,                0.67364,                0.48664,                0.96914,                      1,                0.87147,                0.87769,                0.74908,                 0.6801,                0.85844,                0.94011,               0.000383,               0.000383,               0.000383
                     51,                0.73546,                0.59832,                 1.0104,                0.99564,                  0.875,                0.87902,                0.73021,                0.69926,                0.74417,                0.96102,                0.00035,                0.00035,                0.00035
                     52,                0.66388,                0.57141,                 1.0009,                0.99959,                  0.875,                 0.9028,                0.71452,                0.75869,                0.69826,                0.98888,               0.000317,               0.000317,               0.000317
                     53,                0.71757,                0.58215,                 1.0305,                 0.9974,                  0.875,                0.92047,                0.72963,                0.71935,                0.63167,                0.96136,               0.000284,               0.000284,               0.000284
                     54,                0.67906,                0.54695,                0.95845,                0.99459,                  0.875,                0.93442,                0.75706,                0.68195,                0.59868,                0.94342,               0.000251,               0.000251,               0.000251
                     55,                0.68294,                0.55947,                 1.0145,                0.92514,                 0.9375,                0.93466,                0.79218,                0.64303,                0.54562,                 0.9349,               0.000218,               0.000218,               0.000218
                     56,                 0.6467,                0.51388,                0.94905,                0.99304,                  0.875,                 0.9348,                0.80155,                0.60554,                0.52144,                0.92616,               0.000185,               0.000185,               0.000185
                     57,                0.69132,                0.57004,                0.99473,                0.93094,                 0.9375,                0.93552,                0.79836,                0.59847,                0.50858,                0.91669,               0.000152,               0.000152,               0.000152
                     58,                0.60307,                 0.5182,                0.97926,                0.99262,                  0.875,                0.93592,                0.81127,                0.60698,                0.50421,                0.92131,               0.000119,               0.000119,               0.000119
                     59,                0.72291,                0.59835,                 1.0478,                0.99336,                  0.875,                0.93656,                0.79153,                0.62887,                0.52561,                0.93626,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                0.62624,                0.50616,                0.99313,                0.99375,                  0.875,                0.93432,                0.77174,                0.64649,                0.53268,                0.94594,                5.3e-05,                5.3e-05,                5.3e-05
